row_index,element,Te,Ne
189,Mo,7000.0,3.34e+18
190,N,7000.0,3.34e+18
191,Na,7000.0,3.34e+18
192,Nd,7000.0,3.34e+18
193,Ni,7000.0,3.34e+18
194,O,7000.0,3.34e+18
195,P,7000.0,3.34e+18
196,Pb,7000.0,3.34e+18
197,Pr,7000.0,3.34e+18
198,Pt,7000.0,3.34e+18
199,S,7000.0,3.34e+18
200,Si,7000.0,3.34e+18
201,Sm,7000.0,3.34e+18
202,Sn,7000.0,3.34e+18
203,Sr,7000.0,3.34e+18
204,Ta,7000.0,3.34e+18
205,Tb,7000.0,3.34e+18
206,Ti,7000.0,3.34e+18
207,V,7000.0,3.34e+18
208,W,7000.0,3.34e+18
209,Y,7000.0,3.34e+18
210,Yb,7000.0,3.34e+18
211,Zn,7000.0,3.34e+18
212,Ag,7000.0,4.45e+18
213,Al,7000.0,4.45e+18
214,Ar,7000.0,4.45e+18
215,As,7000.0,4.45e+18
216,Au,7000.0,4.45e+18
217,B,7000.0,4.45e+18
218,Ba,7000.0,4.45e+18
219,Be,7000.0,4.45e+18
220,C,7000.0,4.45e+18
221,Ca,7000.0,4.45e+18
222,Cd,7000.0,4.45e+18
223,Ce,7000.0,4.45e+18
224,Cl,7000.0,4.45e+18
225,Co,7000.0,4.45e+18
226,Cr,7000.0,4.45e+18
227,Cu,7000.0,4.45e+18
228,Dy,7000.0,4.45e+18
229,Er,7000.0,4.45e+18
230,F,7000.0,4.45e+18
231,Fe,7000.0,4.45e+18
232,Gd,7000.0,4.45e+18
233,He,7000.0,4.45e+18
234,Hg,7000.0,4.45e+18
235,Ho,7000.0,4.45e+18
236,K,7000.0,4.45e+18
237,La,7000.0,4.45e+18
238,Li,7000.0,4.45e+18
239,Lu,7000.0,4.45e+18
240,Mg,7000.0,4.45e+18
241,Mn,7000.0,4.45e+18
242,Mo,7000.0,4.45e+18
243,N,7000.0,4.45e+18
244,Na,7000.0,4.45e+18
245,Nd,7000.0,4.45e+18
246,Ni,7000.0,4.45e+18
247,O,7000.0,4.45e+18
248,P,7000.0,4.45e+18
249,Pb,7000.0,4.45e+18
250,Pr,7000.0,4.45e+18
251,Pt,7000.0,4.45e+18
252,S,7000.0,4.45e+18
253,Si,7000.0,4.45e+18
254,Sm,7000.0,4.45e+18
255,Sn,7000.0,4.45e+18
256,Sr,7000.0,4.45e+18
257,Ta,7000.0,4.45e+18
258,Tb,7000.0,4.45e+18
259,Ti,7000.0,4.45e+18
260,V,7000.0,4.45e+18
261,W,7000.0,4.45e+18
262,Y,7000.0,4.45e+18
263,Yb,7000.0,4.45e+18
264,Zn,7000.0,4.45e+18
265,Ag,7000.0,5.56e+18
266,Al,7000.0,5.56e+18
267,Ar,7000.0,5.56e+18
268,As,7000.0,5.56e+18
269,Au,7000.0,5.56e+18
270,B,7000.0,5.56e+18
271,Ba,7000.0,5.56e+18
272,Be,7000.0,5.56e+18
273,C,7000.0,5.56e+18
274,Ca,7000.0,5.56e+18
275,Cd,7000.0,5.56e+18
276,Ce,7000.0,5.56e+18
277,Cl,7000.0,5.56e+18
278,Co,7000.0,5.56e+18
279,Cr,7000.0,5.56e+18
280,Cu,7000.0,5.56e+18
281,Dy,7000.0,5.56e+18
282,Er,7000.0,5.56e+18
283,F,7000.0,5.56e+18
284,Fe,7000.0,5.56e+18
285,Gd,7000.0,5.56e+18
286,He,7000.0,5.56e+18
287,Hg,7000.0,5.56e+18
288,Ho,7000.0,5.56e+18
289,K,7000.0,5.56e+18
290,La,7000.0,5.56e+18
291,Li,7000.0,5.56e+18
292,Lu,7000.0,5.56e+18
293,Mg,7000.0,5.56e+18
294,Mn,7000.0,5.56e+18
295,Mo,7000.0,5.56e+18
296,N,7000.0,5.56e+18
297,Na,7000.0,5.56e+18
298,Nd,7000.0,5.56e+18
299,Ni,7000.0,5.56e+18
300,O,7000.0,5.56e+18
301,P,7000.0,5.56e+18
302,Pb,7000.0,5.56e+18
303,Pr,7000.0,5.56e+18
304,Pt,7000.0,5.56e+18
305,S,7000.0,5.56e+18
306,Si,7000.0,5.56e+18
307,Sm,7000.0,5.56e+18
308,Sn,7000.0,5.56e+18
309,Sr,7000.0,5.56e+18
310,Ta,7000.0,5.56e+18
311,Tb,7000.0,5.56e+18
312,Ti,7000.0,5.56e+18
313,V,7000.0,5.56e+18
314,W,7000.0,5.56e+18
315,Y,7000.0,5.56e+18
316,Yb,7000.0,5.56e+18
317,Zn,7000.0,5.56e+18
